content_id,content_type,content_app,content_location,content_path,content_name,content_data,content_content,content_long_version,content_date
1,template,core,admin,forms,message,"$lang, $id=NULL, $css='', $parse=FALSE","<li{{if $id !== NULL}} id=""{$id}""{{endif}}>
	{{if $css}}
		{template=""message"" app=""core"" group=""global"" location=""admin"" params=""$lang, $css, NULL, $parse""}
	{{else}}
		<div class=""ipsPad"">
			{{if $parse}}
				{lang=""$lang""}
			{{else}}
				{$lang|raw}
			{{endif}}
		</div>
	{{endif}}
</li>",10000,1460070025
2,template,core,admin,support,whitespace,"$files, $id","<div class=""ipsPad"">
	{lang=""some_of_your_files_have_whitespace""}
	<ul>
		{{foreach $files as $file}}
			<li>{$file}</li>
		{{endforeach}}
	</ul>
</div>
<div class=""ipsAreaBackground ipsPad ipsType_center"">
	<a href=""{url=""app=core&module=support&controller=support&next={$id}&mr=0""}"" class=""ipsButton ipsButton_primary"" data-action=""redirectContinue"">{lang=""problem_not_resolved""}</a>
	<a href=""{url=""app=core&module=support&controller=support&mr=0""}&amp;next={expression=""$id + 1""}"" class=""ipsButton ipsButton_alternate"" data-action=""redirectContinue"">{lang=""continue_anyway""}</a>
</div>",10000,1460070025
3,template,core,front,forms,message,"$lang, $id=NULL, $css='', $parse=FALSE","<li{{if $id !== NULL}} id=""{$id}""{{endif}}>
	<div {{if $css}}class=""ipsMessage ipsMessage_{$css}""{{endif}}>
		{{if $parse}}
			{lang=""$lang""}
		{{else}}
			{$lang|raw}
		{{endif}}
	</div>
</li>",10000,1460070025
4,template,core,front,forms,template,"$id, $action, $tabs, $activeTab, $error, $errorTabs, $hiddenValues, $actionButtons, $uploadField, $sidebar, $tabClasses=array(), $formClass='', $attributes=array(), $tabArray=array(), $usingIcons=FALSE","<div class='ipsBox ipsPad'><form action=""{$action}"" method=""post"" accept-charset='utf-8' {{if $uploadField}}enctype=""multipart/form-data""{{endif}} data-ipsForm class=""ipsForm {$formClass}"" {{foreach $attributes as $k => $v}}{$k}=""{$v}""{{endforeach}} {{if count($tabArray) > 1}}novalidate=""true""{{endif}}>
	<input type=""hidden"" name=""{$id}_submitted"" value=""1"">
	{{foreach $hiddenValues as $k => $v}}
		{{if is_array($v)}}
			{{foreach $v as $_k => $_v}}
				<input type=""hidden"" name=""{$k}[{$_k}]"" value=""{$_v}"">
			{{endforeach}}
		{{else}}
			<input type=""hidden"" name=""{$k}"" value=""{$v}"">
		{{endif}}
	{{endforeach}}
	{{if $uploadField}}
		<input type=""hidden"" name=""MAX_FILE_SIZE"" value=""{$uploadField}"">
		<input type=""hidden"" name=""plupload"" value=""{expression=""md5( uniqid() )""}"">
	{{endif}}
	{{if $error}}
		<div class=""ipsMessage ipsMessage_error"">
			{$error}
		</div>
	{{endif}}
	{{if count( $tabs ) < 2}}
		{{if !empty( $sidebar )}}
			<div class='ipsColumns ipsColumns_collapsePhone'>
				<div class='ipsColumn ipsColumn_fluid'>
		{{endif}}
					<ul class='ipsForm'>
						{expression=""array_pop( $tabs )"" raw=""true""}
						<li class='ipsFieldRow'>
							<div class='ipsFieldRow_content'>
								{expression=""implode( '', $actionButtons)"" raw=""true""}
							</div>
						</li>
					</ul>
		{{if !empty( $sidebar )}}
				</div>
				<div class='ipsColumn ipsColumn_wide'>
					{expression=""array_pop( $sidebar )"" raw=""true""}
				</div>
			</div>
		{{endif}}
	{{else}}
		{{if !empty( $errorTabs )}}
			<p class=""ipsMessage ipsMessage_error ipsJS_show"">{lang=""tab_error""}</p>
		{{endif}}
		<div class='ipsTabs ipsClearfix ipsJS_show{{if $usingIcons}} ipsTabs_withIcons{{endif}}' id='tabs_{$id}' data-ipsTabBar data-ipsTabBar-contentArea='#ipsTabs_content_{$id}'>
			<a href='#tabs_{$id}' data-action='expandTabs'><i class='fa fa-caret-down'></i></a>
			<ul role='tablist'>
				{{foreach $tabs as $name => $content}}
					<li>
						<a href='#ipsTabs_tabs_{$id}_{$id}_tab_{$name}_panel' id='{$id}_tab_{$name}' class=""ipsTabs_item {{if $name == $activeTab}}ipsTabs_activeItem{{endif}} {{if in_array( $name, $errorTabs )}}ipsTabs_error{{endif}}"" role=""tab"" aria-selected=""{{if $activeTab == $name}}true{{else}}false{{endif}}"">
							{{if in_array( $name, $errorTabs )}}<i class=""fa fa-exclamation-circle""></i> {{endif}}{{if isset($tabArray[$name]['icon'])}}<i class='fa fa-{$tabArray[$name]['icon']}'></i> {{endif}}{lang=""$name""}
						</a>
					</li>
				{{endforeach}}
			</ul>
		</div>
		<div id='ipsTabs_content_{$id}' class=''>
			{{foreach $tabs as $name => $contents}}
				<div id='ipsTabs_tabs_{$id}_{$id}_tab_{$name}_panel' class=""ipsTabs_panel ipsPad"" aria-labelledby=""{$id}_tab_{$name}"" aria-hidden=""false"">
					{{if isset( $sidebar[ $name ] )}}
						<div class='ipsColumns ipsColumns_collapsePhone'>
							<div class='ipsColumn ipsColumn_fluid'>
					{{endif}}
								<ul class='ipsForm {$formClass} {{if isset( $tabClasses[ $name ] )}}{$tabClasses[ $name ]}{{endif}}'>
									<li class='ipsJS_hide'>{lang=""$name""}</li>
									{$contents|raw}
								</ul>
					{{if isset( $sidebar[ $name ] )}}
							</div>
							<div class='ipsColumn ipsColumn_wide'>
								{$sidebar[ $name ]|raw}
							</div>
						</div>
					{{endif}}
				</div>
			{{endforeach}}
		</div>
		<div class=""ipsAreaBackground_light ipsClearfix ipsPad ipsType_center"">
			{expression=""implode( '', $actionButtons)"" raw=""true""}
		</div>
	{{endif}}
  </form></div>",10000,1460070025
5,template,core,front,global,breadcrumb,"$useMicrodata=TRUE, $position='top', $markRead=TRUE","<nav class='ipsBreadcrumb ipsBreadcrumb_{$position} ipsFaded_withHover'>
	{{if $position == 'bottom'}}
		{template=""rssMenu"" group=""global"" app=""core"" params=""""}
	{{endif}}

	<ul class='ipsList_inline ipsPos_right breadcrumb_side'>
		{{$defaultStream = \IPS\core\Stream::defaultStream();}}
		<li>
			<a data-action=""defaultStream"" class='ipsType_light {{if ! $defaultStream}}ipsHide{{endif}}'  href='{{if $defaultStream}}{$defaultStream->url()}{{endif}}'><i class=""fa fa-folder-open""></i> <span>{{if $defaultStream}}{$defaultStream->_title}{{endif}}</span></a>
		</li>
		{{if $position == 'bottom'}}{{if $markRead && \IPS\Member::loggedIn()->member_id}}
			<li>
				<a data-action=""markSiteRead"" class='ipsType_light' data-controller=""core.front.core.markRead"" href='{url=""app=core&module=system&controller=markread"" seoTemplate=""mark_site_as_read"" csrf=""true""}' title='{lang=""mark_site_read""}' data-ipsTooltip><i class='fa fa-check'></i> {lang=""mark_site_read_button""}</a>
			</li>
		{{endif}}{{endif}}
	</ul>

	<ul {{if $useMicrodata}} itemscope itemtype=""http://schema.org/BreadcrumbList""{{endif}} {{if theme.ipsf_advancedBreadcrumb}}class='ipsfocus_breadcrumb'{{endif}}>
		<li {{if $useMicrodata}} itemprop=""itemListElement"" itemscope itemtype=""http://schema.org/ListItem""{{endif}}>
			<a href='{setting=""base_url""}' {{if $useMicrodata}}itemprop=""url""{{endif}}>
				<span {{if $useMicrodata}}itemprop=""name""{{endif}}><i class='fa fa-home'></i> {lang=""home""}{{if count( \IPS\Output::i()->breadcrumb )}} <i class='fa fa-angle-right'></i>{{endif}}</span>
			</a>
		</li>
		{{$i = 0;}}
		{{foreach \IPS\Output::i()->breadcrumb as $k => $b}}
			<li {{if $useMicrodata}} itemprop=""itemListElement"" itemscope itemtype=""http://schema.org/ListItem""{{endif}}>
				{{if $b[0] === NULL}}
              	<span>{$b[1]}</span>
				{{else}}
					<a href='{$b[0]}' {{if $useMicrodata}}itemprop=""url""{{endif}}>
						<span {{if $useMicrodata}}itemprop=""name""{{endif}}>{$b[1]} {{if ( $i + 1 != count( \IPS\Output::i()->breadcrumb ) )}}<i class='fa fa-angle-right'></i>{{endif}}</span>
					</a>
				{{endif}}
			</li>
			{{$i++;}}
		{{endforeach}}
	</ul>
</nav>",10000,1460070025
6,template,core,front,global,error,"$title, $message, $code, $extra, $member","<div class='ipsBox'>
<section id='elError' class='ipsType_center'>
	<div class='ipsPad'>
		<i class='fa fa-exclamation-circle ipsType_huge'></i>
		<p class='ipsType_reset ipsType_light ipsType_large'>
			{lang=""something_went_wrong""}
		</p>
		<div id='elErrorMessage' class='ipsPos_center'>
			{$message|raw}
		</div>
		<p class='ipsType_light ipsType_reset ipsType_normal'>
			{lang=""error_page_code""} <strong>{$code}</strong>
		</p>
		{{if ( \IPS\IN_DEV or $member->isAdmin() ) and $extra}}
			<div class=""ipsPad ipsType_left"">
				<h3 class=""ipsType_minorHeading"">{lang=""error_technical_details""}</h3>
				<textarea rows=""13"" style=""font-family: monospace;"">{$extra}</textarea>
				<p class=""ipsType_small ipsType_light"">
					{{if $member->isAdmin()}}
						{lang=""error_technical_details_desc""}
						{{if $member->hasAcpRestriction( 'core', 'support', 'system_logs_view' )}}
							{lang=""error_technical_details_logs""}
						{{endif}}
					{{elseif \IPS\IN_DEV}}
						{lang=""error_technical_details_dev""}
					{{endif}}
				</p>
			</div>
		{{endif}}
	</div>
	{{if member.isAdmin() and member.hasAcpRestriction( 'core', 'support', 'get_support' )}}
		<p class='ipsType_light ipsType_large'>
			<a href='{url=""app=core&module=support&controller=support"" base=""admin""}' title='{lang=""get_support""}'>
				<i class=""fa fa-lock""></i> {lang=""get_support""}
			</a>
		</p>
	{{elseif \IPS\Member::loggedIn()->canAccessModule( \IPS\Application\Module::get( 'core', 'contact' ) ) and !( \IPS\Dispatcher::i()->application->directory == 'core' and \IPS\Dispatcher::i()->module and \IPS\Dispatcher::i()->module->key == 'contact' )}}
		<p class='ipsType_light ipsType_large'>
			<a href='{url=""app=core&module=contact&controller=contact"" seoTemplate=""contact""}' title='{lang=""contact_admin""}'>
				{lang=""contact_admin""}
			</a>
		</p>
	{{endif}}
	{{if !member.member_id}}
		<br>
		<a href='{url=""app=core&module=system&controller=login"" seoTemplate=""login""}' class='ipsButton ipsButton_normal ipsButton_medium' title='{lang=""sign_in""}'>
			{lang=""sign_in""}
		</a>
	{{endif}}
</section>
</div>",10000,1460070025
7,template,core,front,global,footer,,"<div class='ipsPos_left'>
{{if ( \IPS\Settings::i()->site_online || \IPS\Member::loggedIn()->group['g_access_offline'] ) and ( \IPS\Dispatcher::i()->application instanceof \IPS\Application AND \IPS\Dispatcher::i()->application->canAccess() )}}
<ul class='ipsList_inline' id=""elFooterLinks"">

	{{$languages = \IPS\Lang::getEnabledLanguages();}}
	{{if count( $languages ) > 1}}
		<li>
			<a href='#elNavLang_menu' id='elNavLang' data-ipsMenu data-ipsMenu-above>{lang='language'} <i class='fa fa-caret-down'></i></a>
			<ul id='elNavLang_menu' class='ipsMenu ipsMenu_selectable ipsHide'>
			{{foreach $languages as $id => $lang }}
				<li class='ipsMenu_item{{if \IPS\Member::loggedIn()->language()->id == $id || ( $lang->default && \IPS\Member::loggedIn()->language === 0 )}} ipsMenu_itemChecked{{endif}}'>
					<form action=""{url=""app=core&module=system&controller=language"" noprotocol=""true"" csrf=""true"" seoTemplate=""language""}"" method=""post"">
					<button type='submit' name='id' value='{$id}' class='ipsButton ipsButton_link'>{{if $lang->get__icon()}}<i class='{$lang->get__icon()}'></i> {{endif}}{$lang->title} {{if $lang->default}}{lang=""default""}{{endif}}</button>
					</form>
				</li>
			{{endforeach}}
			</ul>
		</li>
	{{endif}}
	{{$themes = \IPS\Theme::getThemesWithAccessPermission();}}
	{{if count ( $themes ) > 1 }}
		<li>
			<a href='#elNavTheme_menu' id='elNavTheme' data-ipsMenu data-ipsMenu-above>{lang='skin'} <i class='fa fa-caret-down'></i></a>
			<ul id='elNavTheme_menu' class='ipsMenu ipsMenu_selectable ipsHide'>
			{{foreach $themes as $id => $set }}
				{{if $set->canAccess()}}
					<li class='ipsMenu_item{{if \IPS\Theme::i()->id == $id}} ipsMenu_itemChecked{{endif}}'>
						<form action=""{url=""app=core&module=system&controller=theme"" noprotocol=""true"" csrf=""true"" seoTemplate=""theme""}"" method=""post"">
						<button type='submit' name='id' value='{$id}' class='ipsButton ipsButton_link'>{lang=""$set->_title""} {{if $set->is_default}}{lang=""default""}{{endif}}</button>
						</form>
					</li>
				{{endif}}
			{{endforeach}}
			</ul>
		</li>
	{{endif}}
	{{if \IPS\Settings::i()->privacy_type != ""none""}}
		<li><a href='{{if \IPS\Settings::i()->privacy_type == ""internal""}}{url=""app=core&module=system&controller=privacy"" seoTemplate=""privacy""}{{else}}{setting=""privacy_link""}{{endif}}'>{lang=""privacy""}</a></li>
	{{endif}}
	{{if \IPS\Member::loggedIn()->canAccessModule( \IPS\Application\Module::get( 'core', 'contact' ) ) and !( \IPS\Dispatcher::i()->application->directory == 'core' and \IPS\Dispatcher::i()->module and \IPS\Dispatcher::i()->module->key == 'contact' )}}
		<li><a href='{url=""app=core&module=contact&controller=contact"" seoTemplate=""contact""}' data-ipsdialog data-ipsDialog-remoteSubmit data-ipsDialog-flashMessage='{lang=""contact_sent_blurb""}' data-ipsdialog-title=""{lang=""contact""}"">{lang='contact'}</a></li>
	{{endif}}
</ul>
{{if \IPS\Dispatcher::i()->application instanceof \IPS\Application AND \IPS\Dispatcher::i()->application->canManageWidgets()}}
	<button type='button' id='elWidgetControls' data-action='openSidebar' data-ipsTooltip title='{lang=""manage_blocks""}' class='ipsButton ipsButton_primary ipsButton_narrow'><i class='fa fa-chevron-right'></i></button>
{{endif}}
{{endif}}
</div>",101017,1460071903
8,template,core,front,global,globalTemplate,"$title,$html,$location=array()","<!DOCTYPE html>
<html lang=""{expression=""\IPS\Member::loggedIn()->language()->bcp47()""}"" dir=""{{if member.language()->isrtl}}rtl{{else}}ltr{{endif}}"">
	<head>
		<title>{expression=""output.getTitle( $title )""}</title>
		<!--[if lt IE 9]>
			{{foreach \IPS\Theme::i()->css( 'extra/ie8.css', 'core' ) as $css}}<link rel=""stylesheet"" type=""text/css"" href=""{$css}"">{{endforeach}}
		    <script src=""{url=""applications/core/interface/html5shiv/html5shiv.js"" base=""none"" protocol=""\IPS\Http\Url::PROTOCOL_RELATIVE""}""></script>
		<![endif]-->
		{template=""includeMeta"" app=""core"" group=""global"" location=""global"" params=""""}
		{template=""includeCSS"" app=""core"" group=""global"" location=""global"" params=""""}
		{{if theme.ipsf_backgroundType === 'ipsfocus_backgroundPicker'}}
		<style type='text/css' id='styleBackground'></style>
		{{endif}}
		{template=""includeJS"" if=""theme.js_include != 'footer'"" app=""core"" group=""global"" location=""global"" params=""""}
		{template=""favico"" app=""core"" group=""global"" location=""front"" params=""""}
	</head>
	<body class='ipsApp ipsApp_front {{if isset( \IPS\Request::i()->cookie['hasJS'] )}}ipsJS_has{{else}}ipsJS_none{{endif}} ipsClearfix{{foreach output.bodyClasses as $class}} {$class}{{endforeach}} {theme=""ipsf_backgroundType""} {{if theme.ipsf_valentines}}ipsfocus_valentines{{endif}} {{if theme.ipsf_christmas}}ipsfocus_christmas{{endif}} {{if theme.ipsf_fixedHeader}}ipsfocus_fixedHeader{{endif}} {{if !member.member_id}}ipsfocus_guest{{endif}}' {{if output.globalControllers}}data-controller='{expression=""implode( ',', output.globalControllers )""}'{{endif}} {{if isset( output.inlineMessage )}}data-message=""{expression=""output.inlineMessage""}""{{endif}} data-pageApp='{$location['app']}' data-pageLocation='front' data-pageModule='{$location['module']}' data-pageController='{$location['controller']}' itemscope itemtype=""http://schema.org/WebSite"">
		<meta itemprop=""url"" content=""{setting=""base_url""}"">
		<a href='#elContent' class='ipsHide' title='{lang=""jump_to_content_desc""}' accesskey='m'>{lang=""jump_to_content""}</a>

		<div id='ipsLayout_header' class='ipsClearfix'>
			{{if !in_array('ipsLayout_minimal', \IPS\Output::i()->bodyClasses )}}{template=""mobileNavBar"" app=""core"" group=""global"" params=""""}{{endif}}
			<div id='respSearch'></div>

				<header id='header' class='ipsClearfix'>
                  <div class='topBarWrap'><div class='ipsLayout_container ipsClearfix'>
                    <div class='topBar sideAlign'>
                      {{if !in_array('ipsLayout_minimal', \IPS\Output::i()->bodyClasses )}}{template=""userBar"" app=""core"" group=""global"" params=""""}{{endif}}
                      {template=""searchBar"" app=""core"" group=""global"" params=""""}
                    </div>
                  </div></div>
                  <div class='ipsLayout_container ipsClearfix'>
					<div class='flexColumns mobileLayout'>
                            <div class='smallColumn'>{template=""logo"" app=""core"" group=""global"" params=""""}</div>
                            <div class='largeColumn'><div id='navBar' class='ipsClearfix'>{template=""navBar"" app=""core"" group=""global"" params=""""}</div></div>
                    </div>
                  </div>
				</header>
		</div>
		
		<main role='main' id='ipsLayout_body' class='ipsLayout_container'>
			<div id='ipsLayout_contentArea'>
				<div class='preContentPadding'>
                    {template=""ipsfocus_backgroundPicker"" if=""theme.ipsf_backgroundType == 'ipsfocus_backgroundPicker'"" app=""core"" group=""global"" params=""""}
                    <!-- Breadcrumbs -->
                    <div class='ipsfocus_breadcrumbWrap ipsClearfix'>
                    	{template=""ipsfocus_socialButtons"" if=""theme.ipsf_social"" app=""core"" group=""global"" params=""""}
                    	{template=""breadcrumb"" app=""core"" group=""global"" params=""true, 'top'""}
                    </div>
					{template=""ipsfocus_globalMessage"" if=""theme.globalMessage"" app=""core"" group=""global"" params=""""}
                    {{if !member.member_id}}{template=""ipsfocus_guestMessage"" if=""theme.ipsf_guest"" app=""core"" group=""global"" params=""""}{{endif}}
                    {template=""ipsfocus_countdown"" if=""theme.ipsf_countdown"" app=""core"" group=""global"" params=""""}
            	</div>
				<div id='ipsLayout_contentWrapper'>
					{template=""sidebar"" if=""theme.sidebar_position == 'left'"" app=""core"" group=""global"" params=""'left'""}
					<div id='ipsLayout_mainArea'>
						<a id='elContent'></a>
						{template=""offlineMessage"" if=""!settings.site_online && \IPS\Member::loggedIn()->group['g_access_offline']"" app=""core"" group=""global"" params=""""}
						{template=""updateWarning"" app=""core"" group=""global"" params=""""}
						{template=""lkeyWarning"" app=""core"" group=""global"" location=""global"" params=""""}
						{advertisement=""ad_global_header""}
						{template=""acknowledgeWarning"" if=""\IPS\Member::loggedIn()->members_bitoptions['unacknowledged_warnings']"" params=""\IPS\Member::loggedIn()->warnings( 1, FALSE )"" group=""global"" app=""core""}
						{template=""widgetContainer"" group=""global"" app=""core"" params=""'header', 'horizontal'""}
						{$html|raw}
						{template=""widgetContainer"" group=""global"" app=""core"" params=""'footer', 'horizontal'""}
					</div>
					{template=""sidebar"" if=""theme.sidebar_position == 'right'"" app=""core"" group=""global"" params=""'right'""}
				</div>
                {template=""ipsfocus_megaFooter"" if=""theme.ipsf_megaFooter"" app=""core"" group=""global"" params=""""}
				{template=""breadcrumb"" app=""core"" group=""global"" params=""false, 'bottom'""}
			</div>
			{template=""inlineMessage"" if=""member.msg_show_notification and $conversation = \IPS\core\Messenger\Conversation::latestUnreadConversation()"" app=""core"" group=""global"" params=""$conversation->comments( 1, 0, 'date', 'desc' )""}
		</main>
		<div class='ipsLayout_container'><footer id='ipsLayout_footer' class='ipsClearfix'>
				
			{advertisement=""ad_global_footer""}
			{template=""footer"" app=""core"" group=""global"" params=""""}
			
		</footer></div>
		
		{{if !in_array('ipsLayout_minimal', \IPS\Output::i()->bodyClasses )}}{template=""mobileNavigation"" if=""theme.responsive"" app=""core"" group=""global"" params=""""}{{endif}}
		{template=""includeJS"" if=""theme.js_include == 'footer'"" app=""core"" group=""global"" location=""global"" params=""""}
		{template=""ipsfocus_videoBackground"" if=""theme.ipsf_backgroundType == 'ipsfocus_videoBackground'"" app=""core"" group=""global"" params=""""}
		{{if settings.ipbseo_ga_enabled}}
			{setting=""ipseo_ga""}
		{{endif}}
		{template=""viglink"" if=""settings.viglink_enabled"" app=""core"" group=""global"" params=""""}
		{template=""metaTagEditor"" if=""isset( $_SESSION['live_meta_tags'] ) and $_SESSION['live_meta_tags'] and member.isAdmin()"" app=""core"" group=""global"" params=""""}
		<!--ipsQueryLog-->
		<!--ipsCachingLog-->
		{expression=""output.endBodyCode"" raw=""true""}
	</body>
</html>",10000,1460070025
9,template,core,front,global,ipsfocus_backgroundPicker,,"<div id='ipsf_pickerWrap'>
	<div id='ipsf_picker' class='ipsClearfix'>
	    <span data-backgroundClass='ipsfocus_bg1' style='background-color: {theme=""ifBg1_hex""}; {{if theme.ifBg1_image}}background-image: url({theme=""ifBg1_image""});{{endif}} background-position: {theme=""ifBg1_position""}; background-size: {theme=""ifBg1_size""}'></span>
		<span data-backgroundClass='ipsfocus_bg2' style='background-color: {theme=""ifBg2_hex""}; {{if theme.ifBg2_image}}background-image: url({theme=""ifBg2_image""});{{endif}} background-position: {theme=""ifBg2_position""}; background-size: {theme=""ifBg2_size""}'></span>
    	<span data-backgroundClass='ipsfocus_bg3' style='background-color: {theme=""ifBg3_hex""}; {{if theme.ifBg3_image}}background-image: url({theme=""ifBg3_image""});{{endif}} background-position: {theme=""ifBg3_position""}; background-size: {theme=""ifBg3_size""}'></span>
	    <span data-backgroundClass='ipsfocus_bg4' style='background-color: {theme=""ifBg4_hex""}; {{if theme.ifBg4_image}}background-image: url({theme=""ifBg4_image""});{{endif}} background-position: {theme=""ifBg4_position""}; background-size: {theme=""ifBg4_size""}'></span>
      	<span data-backgroundClass='ipsfocus_bg5' style='background-color: {theme=""ifBg5_hex""}; {{if theme.ifBg5_image}}background-image: url({theme=""ifBg5_image""});{{endif}} background-position: {theme=""ifBg5_position""}; background-size: {theme=""ifBg5_size""}'></span>
      	<span data-backgroundClass='ipsfocus_bg6' style='background-color: {theme=""ifBg6_hex""}; {{if theme.ifBg6_image}}background-image: url({theme=""ifBg6_image""});{{endif}} background-position: {theme=""ifBg6_position""}; background-size: {theme=""ifBg6_size""}'></span>
	</div>
</div>",10000,1460070025
10,template,core,front,global,ipsfocus_countdown,,"<div class='ipsfocus_countdown'>
	<div class='title'>{theme=""ipsf_countdownText""}</div>
	<div class='ipsfocus_timer'></div>
</div>

<script type='text/javascript'>
$(document).ready(function(){
	$('.ipsfocus_countdown .ipsfocus_timer').countdown('{theme=""ipsf_countdownDate""}', function(event) {
		var ipsf_countdown = $(this).html(event.strftime(''
		+ '<span class=""num"">%w</span> <span class=""dateType"">weeks</span> '
		+ '<span class=""num"">%d</span> <span class=""dateType"">days</span> '
		+ '<span class=""num"">%H</span> <span class=""dateType"">hr</span> '
		+ '<span class=""num"">%M</span> <span class=""dateType"">min</span> '
		+ '<span class=""num"">%S</span> <span class=""dateType"">sec</span>'));
	});
});
</script>",10000,1460070025
