reply_id,reply_status_id,reply_member_id,reply_date,reply_content,reply_approved,reply_ip_address
1,2,35,1324554161,<p>Try living in Indiana.</p>,1,
2,2,132,1328301526,<p>Try living in Finland. -25 celsius and strong wind. Augh yeah.</p>,1,
3,23,143,1330034455,"<p>Omg, blocked.</p>",1,
5,27,164,1332465964,<p>Yeah it's so annoying dealing with poorly designed web 1.0 stuff. I just got done browsing through AlternateHistory.com for sources and stuff and so many of the links were malformed or took forever to load because of the '03-04 era tech.</p>,1,
710,3024,9446,1486996408,"<p>
	I come from a Hindu family but I myself don't particularly keep up with any of the religious traditions/worship. 
</p>",1,100.33.36.131
7,29,132,1333328200,<p>*hmm...slavsicles...*</p>,1,
8,29,130,1333757777,<p>lolgenocide</p>,1,
9,29,130,1333758050,<p>I didn't even know you could comment on these.</p>,1,
10,26,84,1335455835,"<p>I thank God for that too! <img src=""<fileStore.core_Emoticons>/emoticons/GeneralIMemoticons_wink.png"" alt="";)"" srcset=""<fileStore.core_Emoticons>/emoticons/wink@2x.png 2x"" width=""20"" height=""20"" /></p>",1,
11,49,246,1338862771,"<p>I prefer the ""counter-revolution"", but perhaps that's splitting hairs?</p>",1,
12,62,246,1339245672,"<p>Who do you think is more to blame? SoG, NSP, or FascCap?</p>",1,
13,62,130,1339368039,"
<p>NSP is at least ideologically serious.</p>
<p>
FC is a running joke, so I'd expect him to do that.</p>
<p>
I'd blame SoG and his autism for that shitnado.</p>
",1,
14,68,279,1340505368,<p>An extra coffee never hurts.</p>,1,
15,71,279,1340505390,"<p>I bid you welcome, brother.</p>",1,
16,76,164,1340702664,"<p>Yeah, it's getting to be pretty gross.</p>",1,
17,49,279,1340758425,<p>Traditional(ist) Socialism/Distributism?</p>,1,
18,49,7,1341134978,<p>Liberals academics like Anthony King/ Fareed Zakaria/ Robert A. Dahl/ Douglas Holmes/etc  use the term 'counter-enlightenment'</p>,1,
19,76,279,1341199242,<p>We could easily get rid of new ones by making a mandatory questionnaire when a person registers and manual approval by the staff for account activation.</p>,1,
20,76,164,1341482257,<p>In theory that could work but it seems like that sort of hassle would drive away a lot of members too. Then again I don't want this place turning into SF-lite which it seems to be well on track to becoming.</p>,1,
21,76,279,1341484429,"<p>Well, we must stop the hordes of invaders one way or another.</p>",1,
22,76,130,1341724679,"<p>Well they're retards for the most part, they tend to leave when they see this forum operates at an 11th grade level at the minimum.</p>",1,
23,91,130,1341725031,<p>The woman-hating is reaching epidemic levels</p>,1,
24,76,279,1341731822,<p>True enough.</p>,1,
