id,member_id,ctime,note,ip_address,appcomponent,module,controller,do,lang_key,member_name
1,1,2011-09-12T16:05:48Z,Category 'Iron March HQ'  edited,178.140.119.217,forums,forums,forums,doedit,,
2,1,2011-09-12T16:07:59Z,Forum 'Adminship Center'  edited,178.140.119.217,forums,forums,forums,doedit,,
3,1,2011-09-12T16:08:15Z,Forum 'Adminship Center'  edited,178.140.119.217,forums,forums,forums,doedit,,
4,1,2011-09-12T16:11:38Z,Forum 'Adminship Bunker' created,178.140.119.217,forums,forums,forums,donew,,
5,1,2011-09-12T16:15:13Z,Edited Group 'The Adminship',178.140.119.217,members,groups,groups,doedit,,
6,1,2011-09-12T16:15:53Z,Edited Group 'Exiled',178.140.119.217,members,groups,groups,doedit,,
7,1,2011-09-12T16:16:06Z,Edited Group 'Visitors',178.140.119.217,members,groups,groups,doedit,,
8,1,2011-09-12T16:16:28Z,Edited Group 'Black Corps',178.140.119.217,members,groups,groups,doedit,,
9,1,2011-09-12T16:20:31Z,Added Group 'Prisoner',178.140.119.217,members,groups,groups,doadd,,
10,1,2011-09-12T17:54:03Z,Forum 'Announcements' created,178.140.119.217,forums,forums,forums,donew,,
11,1,2011-09-12T17:58:06Z,Forum 'Public Relations' created,178.140.119.217,forums,forums,forums,donew,,
12,1,2011-09-12T17:59:46Z,Forum 'Announcements and Charter'  edited,178.140.119.217,forums,forums,forums,doedit,,
13,1,2011-09-12T18:04:56Z,Forum 'Black Corps' created,178.140.119.217,forums,forums,forums,donew,,
14,1,2011-09-12T18:05:43Z,Forum 'Adminship Bunker'  edited,178.140.119.217,forums,forums,forums,doedit,,
15,1,2011-09-12T18:08:10Z,Category 'The News' created,178.140.119.217,forums,forums,forums,donew,,
16,1,2011-09-12T18:09:55Z,Forum 'World News' created,178.140.119.217,forums,forums,forums,donew,,
17,1,2011-09-12T18:12:54Z,Forum 'Your local news' created,178.140.119.217,forums,forums,forums,donew,,
18,1,2011-09-12T18:19:01Z,Category 'General Discussions' created,178.140.119.217,forums,forums,forums,donew,,
19,1,2011-09-12T18:20:05Z,Forum 'Introductions' created,178.140.119.217,forums,forums,forums,donew,,
20,1,2011-09-12T18:21:43Z,Category 'General Off-Topic'  edited,178.140.119.217,forums,forums,forums,doedit,,
21,1,2011-09-12T18:33:50Z,Forum 'General Discussions' created,178.140.119.217,forums,forums,forums,donew,,
22,1,2011-09-12T18:35:03Z,Forum 'Wastelands' created,178.140.119.217,forums,forums,forums,donew,,
23,1,2011-09-12T18:38:03Z,Forum 'Specific subjects' created,178.140.119.217,forums,forums,forums,donew,,
24,1,2011-09-12T18:39:18Z,Forum 'History and War' created,178.140.119.217,forums,forums,forums,donew,,
25,1,2011-09-12T18:40:40Z,Forum 'Psychology' created,178.140.119.217,forums,forums,forums,donew,,
26,1,2011-09-12T18:47:38Z,Category 'Fascism Hub' created,178.140.119.217,forums,forums,forums,donew,,
27,1,2011-09-12T18:49:14Z,Forum 'Fascist History' created,178.140.119.217,forums,forums,forums,donew,,
28,1,2011-09-12T18:51:32Z,Forum 'Italian Fascism' created,178.140.119.217,forums,forums,forums,donew,,
29,1,2011-09-12T18:52:43Z,Forum 'Falangism' created,178.140.119.217,forums,forums,forums,donew,,
30,1,2011-09-12T18:53:35Z,Forum 'Other Fascist Movements (Pre 1945)' created,178.140.119.217,forums,forums,forums,donew,,
31,1,2011-09-12T18:54:23Z,Forum 'Contemporary Fascism' created,178.140.119.217,forums,forums,forums,donew,,
32,1,2011-09-12T18:59:23Z,Forum 'Fascist Discussions' created,178.140.119.217,forums,forums,forums,donew,,
33,1,2011-09-12T18:59:47Z,Forum 'Fascist Discussions'  edited,178.140.119.217,forums,forums,forums,doedit,,
34,1,2011-09-12T19:00:55Z,Forum 'Fascist Foreign Policy' created,178.140.119.217,forums,forums,forums,donew,,
35,1,2011-09-12T19:04:21Z,Forum 'Fascist Economics' created,178.140.119.217,forums,forums,forums,donew,,
36,1,2011-09-12T19:05:33Z,Forum 'Fascist Social &amp; Cutural Issues' created,178.140.119.217,forums,forums,forums,donew,,
37,1,2011-09-12T19:06:19Z,Forum 'Fascism and Religion' created,178.140.119.217,forums,forums,forums,donew,,
38,1,2011-09-12T19:07:18Z,Forum 'Cultural Fascism' created,178.140.119.217,forums,forums,forums,donew,,
39,1,2011-09-12T19:10:43Z,"Forum 'Fascist Fiction, Poetry and Other Forms of Media' created",178.140.119.217,forums,forums,forums,donew,,
40,1,2011-09-12T19:12:19Z,Forum 'Against the Modern World' created,178.140.119.217,forums,forums,forums,donew,,
41,1,2011-09-12T19:14:45Z,"Forum 'Planning, Theory and Ideas' created",178.140.119.217,forums,forums,forums,donew,,
42,1,2011-09-12T19:15:58Z,Category 'New March Archives' created,178.140.119.217,forums,forums,forums,donew,,
43,1,2011-09-12T19:16:33Z,Category 'New March Forum Archives'  edited,178.140.119.217,forums,forums,forums,doedit,,
44,1,2011-09-12T19:17:50Z,Forum 'Community Archive Project' created,178.140.119.217,forums,forums,forums,donew,,
45,1,2011-09-12T19:19:31Z,Forum 'External Materials Archive' created,178.140.119.217,forums,forums,forums,donew,,
46,1,2011-09-12T19:21:38Z,Forum 'Members Material Archive' created,178.140.119.217,forums,forums,forums,donew,,
47,1,2011-09-12T19:22:01Z,Category 'Iron March Forum Archives'  edited,178.140.119.217,forums,forums,forums,doedit,,
48,1,2011-09-12T19:25:01Z,Forum 'Fascism by country' created,178.140.119.217,forums,forums,forums,donew,,
49,1,2011-09-12T19:25:26Z,Forum 'Fascism by country'  edited,178.140.119.217,forums,forums,forums,doedit,,
50,1,2011-09-12T19:26:49Z,Forum 'Italia' created,178.140.119.217,forums,forums,forums,donew,,
51,1,2011-09-12T19:27:33Z,Forum 'United Kingdom' created,178.140.119.217,forums,forums,forums,donew,,
52,1,2011-09-12T19:29:08Z,Forum 'Éire' created,178.140.119.217,forums,forums,forums,donew,,
53,1,2011-09-12T19:30:02Z,Forum 'Deutschland' created,178.140.119.217,forums,forums,forums,donew,,
54,1,2011-09-12T19:30:47Z,Forum 'Norge' created,178.140.119.217,forums,forums,forums,donew,,
55,1,2011-09-12T19:32:07Z,Forum 'Sverige' created,178.140.119.217,forums,forums,forums,donew,,
56,1,2011-09-12T19:33:14Z,Forum 'Nederland' created,178.140.119.217,forums,forums,forums,donew,,
57,1,2011-09-12T19:35:40Z,Forum 'Россия' created,178.140.119.217,forums,forums,forums,donew,,
58,1,2011-09-12T19:35:55Z,Forum 'United Kingdom'  edited,178.140.119.217,forums,forums,forums,doedit,,
59,1,2011-09-12T19:36:49Z,Forum 'United States of America' created,178.140.119.217,forums,forums,forums,donew,,
60,1,2011-09-12T19:38:40Z,Forum 'România' created,178.140.119.217,forums,forums,forums,donew,,
61,1,2011-09-12T19:43:19Z,Forum 'Propaganda Ministry' created,178.140.119.217,forums,forums,forums,donew,,
62,1,2011-09-12T19:45:26Z,Forum 'Main Office' created,178.140.119.217,forums,forums,forums,donew,,
63,1,2011-09-12T19:46:08Z,Forum 'Video Department' created,178.140.119.217,forums,forums,forums,donew,,
64,1,2011-09-12T19:46:47Z,Forum 'Imagery Department' created,178.140.119.217,forums,forums,forums,donew,,
65,1,2011-09-12T19:48:04Z,Forum 'Press Department' created,178.140.119.217,forums,forums,forums,donew,,
66,1,2011-09-12T19:48:21Z,Forum 'Imagery Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
67,1,2011-09-12T19:48:32Z,Forum 'Imagery Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
68,1,2011-09-12T19:49:03Z,Forum 'Video Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
69,1,2011-09-12T19:51:31Z,Forum 'Debate Duel' created,178.140.119.217,forums,forums,forums,donew,,
70,1,2011-09-12T19:51:48Z,Forum 'Debate Duel'  edited,178.140.119.217,forums,forums,forums,doedit,,
71,1,2011-09-12T19:52:54Z,Forum 'Rules and Challenges' created,178.140.119.217,forums,forums,forums,donew,,
72,1,2011-09-12T19:54:17Z,Forum 'The Arena' created,178.140.119.217,forums,forums,forums,donew,,
73,1,2011-09-12T19:55:21Z,Forum 'Duel Archives' created,178.140.119.217,forums,forums,forums,donew,,
74,1,2011-09-12T20:22:49Z,Category 'Opposing Views' created,178.140.119.217,forums,forums,forums,donew,,
75,1,2011-09-12T20:25:07Z,Forum 'Fascism and the Left' created,178.140.119.217,forums,forums,forums,donew,,
76,1,2011-09-12T20:26:49Z,Forum 'Fascism and the Right' created,178.140.119.217,forums,forums,forums,donew,,
77,1,2011-09-12T20:27:21Z,Forum 'Fascism and Nazism' created,178.140.119.217,forums,forums,forums,donew,,
78,1,2011-09-12T20:29:10Z,Forum 'Concentration Camp' created,178.140.119.217,forums,forums,forums,donew,,
79,1,2011-09-12T20:40:15Z,Edited Member 'Kacen' account,178.140.119.217,members,members,members,member_edit,,
80,1,2011-09-12T21:57:49Z,Edited Group 'Prisoner',178.140.119.217,members,groups,groups,doedit,,
81,1,2011-09-12T22:04:57Z,Forum 'Black Corps Compound'  edited,178.140.119.217,forums,forums,forums,doedit,,
82,1,2011-09-12T22:15:26Z,Edited Group 'The Adminship',178.140.119.217,members,groups,groups,doedit,,
83,1,2011-09-12T22:17:18Z,Edited Group 'The Adminship',178.140.119.217,members,groups,groups,doedit,,
84,1,2011-09-12T22:17:55Z,Edited Group 'The Adminship',178.140.119.217,members,groups,groups,doedit,,
85,1,2011-09-12T22:18:06Z,Edited Group 'Black Corps',178.140.119.217,members,groups,groups,doedit,,
86,1,2011-09-12T22:30:37Z,Edited Group 'Exiled',178.140.119.217,members,groups,groups,doedit,,
87,1,2011-09-12T22:30:57Z,Edited Group 'Prisoner',178.140.119.217,members,groups,groups,doedit,,
88,1,2011-09-12T23:43:20Z,Edited Rank Setting,178.140.119.217,members,members,ranks,do_rank_edit,,
89,1,2011-09-12T23:43:47Z,Edited Rank Setting,178.140.119.217,members,members,ranks,do_rank_edit,,
90,1,2011-09-12T23:45:41Z,Edited Rank Setting,178.140.119.217,members,members,ranks,do_rank_edit,,
91,1,2011-09-12T23:48:01Z,Added New Rank Setting,178.140.119.217,members,members,ranks,do_add_rank,,
92,1,2011-09-12T23:49:51Z,Edited Rank Setting,178.140.119.217,members,members,ranks,do_rank_edit,,
93,1,2011-09-13T00:41:39Z,Removed Rank Setting,178.140.119.217,members,members,ranks,rank_delete,,
94,1,2011-09-13T00:41:41Z,Removed Rank Setting,178.140.119.217,members,members,ranks,rank_delete,,
95,1,2011-09-13T00:41:44Z,Removed Rank Setting,178.140.119.217,members,members,ranks,rank_delete,,
96,1,2011-09-13T00:41:47Z,Removed Rank Setting,178.140.119.217,members,members,ranks,rank_delete,,
97,1,2011-09-13T01:37:59Z,Edited Member 'Benjamin Noyles' account,178.140.119.217,members,members,members,member_edit,,
98,1,2011-09-13T08:08:37Z,Member email address changed from slavros_a@mail.ru to slavros_a@mail.ru ( Member ID: 1 ),178.140.119.217,members,members,editform,save_email,,
99,1,2011-09-13T08:27:58Z,Forum 'Tech Support' created,178.140.119.217,forums,forums,forums,donew,,
100,1,2011-09-13T08:42:06Z,Forum access permissions edited in Duel Archives,178.140.119.217,forums,forums,forums,pdoedit,,
101,1,2011-09-13T08:42:43Z,Forum access permissions edited in The Arena,178.140.119.217,forums,forums,forums,pdoedit,,
102,1,2011-09-13T10:47:06Z,Edited Member 'Woman in Black' account,178.140.119.217,members,members,members,member_edit,,
103,1,2011-09-13T14:42:08Z,Edited Member 'Mierce' account,178.140.119.217,members,members,members,member_edit,,
1258,1,2013-02-26T01:01:52Z,Forum access permissions edited in Concentration Camp,178.140.113.148,forums,forums,forums,pdoedit,,
105,1,2011-09-14T12:17:00Z,Added Group 'Propaganda Ministry Worker',178.140.119.217,members,groups,groups,doadd,,
106,1,2011-09-14T12:18:49Z,Edited Group 'Propaganda Ministry Worker',178.140.119.217,members,groups,groups,doedit,,
107,1,2011-09-14T12:19:53Z,Forum access permissions edited in Video Department,178.140.119.217,forums,forums,forums,pdoedit,,
108,1,2011-09-14T12:20:13Z,Forum access permissions edited in Imagery Department,178.140.119.217,forums,forums,forums,pdoedit,,
109,1,2011-09-14T12:20:21Z,Forum access permissions edited in Press Department,178.140.119.217,forums,forums,forums,pdoedit,,
110,1,2011-09-14T12:21:08Z,Forum 'Video Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
111,1,2011-09-14T12:21:16Z,Forum 'Imagery Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
