map_id,map_user_id,map_topic_id,map_folder_id,map_read_time,map_user_active,map_user_banned,map_has_unread,map_is_starter,map_ignore_notification,map_last_topic_reply
1,23,1,myconvo,2011-11-04T06:53:06Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-09-16T03:49:58Z
2,1,1,myconvo,2011-09-20T14:19:38Z,FALSE,FALSE,FALSE,TRUE,FALSE,2011-09-16T03:49:58Z
3,1,2,myconvo,2011-09-16T15:46:25Z,FALSE,FALSE,FALSE,FALSE,FALSE,2011-09-16T15:44:51Z
4,11,2,myconvo,2011-09-20T04:03:38Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-09-16T15:44:51Z
5,14,3,myconvo,2011-09-17T01:59:51Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-09-17T01:59:50Z
6,16,3,myconvo,2011-09-17T18:19:01Z,FALSE,FALSE,FALSE,TRUE,FALSE,2011-09-17T01:59:50Z
9,20,5,myconvo,2011-09-20T14:42:17Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-09-20T14:42:17Z
10,1,5,myconvo,2011-11-07T01:36:40Z,FALSE,FALSE,FALSE,TRUE,FALSE,2011-09-20T14:42:17Z
11,11,6,myconvo,2011-09-22T14:18:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-09-22T14:17:57Z
12,1,6,myconvo,2011-09-22T14:33:52Z,FALSE,FALSE,FALSE,TRUE,FALSE,2011-09-22T14:17:57Z
2917,35,1454,myconvo,2013-01-26T02:10:03Z,FALSE,FALSE,FALSE,TRUE,FALSE,2013-01-24T01:52:24Z
15,8,8,myconvo,2011-09-23T00:14:36Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-09-23T00:14:21Z
16,2,8,myconvo,2011-09-23T00:14:22Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-09-23T00:14:21Z
881,191,439,myconvo,,TRUE,FALSE,TRUE,FALSE,FALSE,2012-06-18T14:48:06Z
19,25,10,myconvo,2013-07-08T19:35:28Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-09-23T20:44:56Z
20,1,10,myconvo,2011-09-24T09:39:55Z,FALSE,FALSE,FALSE,TRUE,FALSE,2011-09-23T20:44:56Z
21,39,11,myconvo,2012-07-14T22:01:41Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-09-24T12:12:39Z
22,1,11,myconvo,2011-09-26T05:07:44Z,FALSE,FALSE,FALSE,TRUE,FALSE,2011-09-24T12:12:39Z
23,35,12,myconvo,2011-09-27T02:14:57Z,FALSE,FALSE,FALSE,FALSE,FALSE,2011-09-26T18:52:57Z
24,14,12,myconvo,2011-09-26T18:52:59Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-09-26T18:52:57Z
25,7,13,myconvo,2011-09-26T01:35:47Z,FALSE,FALSE,FALSE,FALSE,FALSE,2011-09-26T01:05:49Z
26,2,13,myconvo,2014-02-16T21:27:02Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-09-26T01:05:49Z
290,65,145,myconvo,2012-01-29T05:05:32Z,TRUE,FALSE,FALSE,TRUE,FALSE,2012-01-28T23:45:52Z
289,1,145,myconvo,2012-01-28T23:45:53Z,FALSE,FALSE,FALSE,FALSE,FALSE,2012-01-28T23:45:52Z
29,3,15,myconvo,2011-09-27T03:07:27Z,FALSE,FALSE,FALSE,FALSE,FALSE,2011-09-27T03:07:24Z
30,11,15,myconvo,2011-09-27T03:12:03Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-09-27T03:07:24Z
31,16,16,myconvo,2012-07-05T21:22:23Z,FALSE,FALSE,FALSE,FALSE,FALSE,2011-09-27T23:05:10Z
32,2,16,myconvo,2014-02-16T21:26:56Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-09-27T23:05:10Z
33,43,17,myconvo,2011-10-07T21:08:51Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-10-02T16:30:22Z
34,11,17,myconvo,2011-10-02T19:12:42Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-10-02T16:30:22Z
35,9,18,myconvo,2011-09-30T11:53:05Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-09-30T11:53:03Z
36,35,18,myconvo,2011-09-30T11:55:43Z,FALSE,FALSE,FALSE,TRUE,FALSE,2011-09-30T11:53:03Z
175,54,88,myconvo,2011-12-19T22:26:50Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-12-19T22:26:49Z
174,89,87,myconvo,2011-12-21T01:27:25Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-12-19T19:44:17Z
39,1,20,myconvo,2011-10-02T14:36:34Z,FALSE,FALSE,FALSE,FALSE,FALSE,2011-10-01T17:23:10Z
40,2,20,myconvo,2012-06-13T16:17:31Z,TRUE,FALSE,FALSE,TRUE,FALSE,2011-10-01T17:23:10Z
41,37,21,myconvo,2013-08-04T15:10:27Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-10-02T07:37:20Z
42,1,21,myconvo,2011-10-02T08:24:37Z,FALSE,FALSE,FALSE,TRUE,FALSE,2011-10-02T07:37:20Z
47,47,24,myconvo,2011-10-04T06:30:14Z,TRUE,FALSE,FALSE,FALSE,FALSE,2011-10-04T05:52:14Z
