wl_id,wl_member,wl_moderator,wl_date,wl_reason,wl_points,wl_note_member,wl_note_mods,wl_mq,wl_mq_unit,wl_rpa,wl_rpa_unit,wl_suspend,wl_suspend_unit,wl_ban_group,wl_expire,wl_expire_unit,wl_content_app,wl_content_id1,wl_expire_date
1,33,9,2011-09-21T11:32:21Z,0,1,,Personal attack and name-calling during the debate with Ben in the &quot;Fasces&#39; World Map Thread.,0,h,0,h,0,h,0,0,,,,
2,40,4,2011-10-27T23:38:28Z,0,1,,Racism/ethnic slurs etc.,0,h,0,h,0,h,0,0,,,,
3,40,4,2011-10-27T23:39:35Z,0,0,,I believe that my previous adjustment of the warning bar was far too lenient.,0,h,0,h,0,h,0,0,,,,
4,40,4,2011-12-04T00:16:19Z,0,0,,yhu7jytf,0,h,0,h,0,h,0,0,,,,
5,89,7,2011-12-17T22:04:47Z,0,1,,Ridiculous drama and frankly embarassing behaviour. ,0,h,-1,,0,h,0,0,,,,
6,49,14,2011-12-17T22:07:40Z,0,1,,Warned for excessive flaming in the topic &#39;Ask me anything&#39; by user Ben Barton. The thread is here:<br /><br />http://ironmarch.org/index.php?/topic/394-ask-me-anything/page__pid__5491#entry5491,0,h,0,h,0,h,0,0,,,,
7,40,14,2011-12-23T20:27:50Z,0,0,,"Completely disgraceful trolling and flaming contained within the thread &#39;Schopenhauer on Women&#39;. I would have interned him myself if this damn thing told me how.<br /><br />Holiday Best,<br />Dux<br /><br />12.22..11",0,h,0,h,0,h,0,0,,,,
8,40,14,2011-12-25T14:33:04Z,0,0,,"See my previous log. It appears that I did not actually increase the Warning Level. My mistake.<br /><br />Happy Holidays,<br />Dux",0,h,0,h,0,h,0,0,,,,
9,40,4,2012-01-01T19:56:58Z,0,0,,He told me to.,0,h,-1,,0,h,0,0,,,,
10,40,4,2012-01-28T21:05:49Z,0,0,,Cooldown?,0,h,0,h,0,h,0,0,,,,
11,49,4,2012-01-28T21:06:46Z,0,0,,Cooldown.,0,h,0,h,0,h,0,0,,,,
12,89,1,2012-01-29T08:46:22Z,0,0,,Using forum name without permission. Insubordination. Giving lip.,0,h,0,h,0,h,0,0,,,,
13,209,4,2012-04-22T10:55:30Z,0,0,,Apparent scam artist.,0,h,0,h,0,h,0,0,,,,
14,84,49,2012-06-18T00:17:42Z,0,1,For stupid and irrelevant insults you have been given a warning.,Irrelevant and annoying insults.,0,h,0,h,0,h,0,0,,,,
15,19,1,2012-07-05T12:02:17Z,0,0,,Banned at user&#39;s request.,0,,0,,0,,0,0,,,,
