wlog_id,wlog_mid,wlog_notes,wlog_contact,wlog_contact_content,wlog_date,wlog_type,wlog_addedby
1,33,"a:15:{s:7:""content"";s:102:""Personal attack and name-calling during the debate with Ben in the &quot;Fasces&#39; World Map Thread."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1316604741,neg,9
2,40,"a:15:{s:7:""content"";s:24:""Racism/ethnic slurs etc."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1319758708,neg,4
3,40,"a:15:{s:7:""content"";s:77:""I believe that my previous adjustment of the warning bar was far too lenient."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1319758775,custom,4
4,40,"a:15:{s:7:""content"";s:8:""yhu7jytf"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1322957779,custom,4
5,89,"a:15:{s:7:""content"";s:52:""Ridiculous drama and frankly embarassing behaviour. "";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""2"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";s:1:""1"";s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1324159487,neg,7
6,49,"a:15:{s:7:""content"";s:202:""Warned for excessive flaming in the topic &#39;Ask me anything&#39; by user Ben Barton. The thread is here:<br /><br />http://ironmarch.org/index.php?/topic/394-ask-me-anything/page__pid__5491#entry5491"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1324159660,neg,14
7,40,"a:15:{s:7:""content"";s:224:""Completely disgraceful trolling and flaming contained within the thread &#39;Schopenhauer on Women&#39;. I would have interned him myself if this damn thing told me how.<br /><br />Holiday Best,<br />Dux<br /><br />12.22..11"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1324672070,nochan,14
8,40,"a:15:{s:7:""content"";s:131:""See my previous log. It appears that I did not actually increase the Warning Level. My mistake.<br /><br />Happy Holidays,<br />Dux"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1324823584,custom,14
14,40,"a:15:{s:7:""content"";s:9:""Cooldown?"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1327784749,custom,4
11,40,"a:15:{s:7:""content"";s:14:""He told me to."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";s:1:""1"";s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1325447818,nochan,4
